index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2022-07-01,L14,2,2022,16.8,7.4,32.9,,0.435,0.279,645.0,436.0,14.0,-7.6,5177.0,11743.0,,,,,,0.657,,,1.9,2.4,1.8,-0.404,1990.0,0.597,0.454,,0.0,0.0,0.2,0.7,1.5,255.0,0.228,0.047,1067.0,0.6,-0.254,0.3,,0.454,-5.3,,,,,,,,,0.5,,0.082,-0.403,,2022-07-01
2022-04-01,L14,1,2022,33.5,14.8,65.2,,0.558,0.291,1155.0,521.0,17.0,1.8,8681.0,19681.0,,,,,,0.474,,,2.1,3.0,2.6,0.248,1840.0,0.583,0.284,2.118,0.2,0.1,1.4,10.8,2.1,799.0,0.224,0.068,1659.0,0.3,-0.001,0.2,0.4,0.284,17.0,,,,,,,,,0.5,,0.021,0.113,,2022-04-01
2022-01-01,L14,4,2021,32.5,12.8,119.2,,0.482,0.256,1085.0,466.0,26.0,0.5,6956.0,17687.0,,,,,,0.469,,,1.8,2.7,2.4,3.026,1801.0,0.279,0.076,3.063,0.2,0.1,1.9,21.3,2.1,696.0,0.112,0.016,1526.0,0.3,-0.002,0.2,0.5,0.076,87.9,,,,,,,,,0.5,,-0.05,0.421,,2022-01-01
2021-10-01,L14,3,2021,45.6,6.3,213.1,,0.148,0.087,801.0,523.0,24.0,5.5,1728.0,12448.0,,,,,,0.526,,,1.5,2.4,2.0,0.039,1895.0,0.512,0.322,0.426,0.3,0.2,1.3,16.8,1.9,388.0,0.064,0.003,1301.0,0.5,-0.002,0.3,0.6,0.322,2.1,,,,,,,,,0.7,,-0.111,0.032,,2021-10-01
2021-07-01,L14,2,2021,36.1,5.0,109.1,,0.147,0.097,797.0,512.0,21.0,391.4,1662.0,12063.0,,,,,,0.628,,,2.6,3.3,2.6,0.446,2131.0,0.595,0.424,0.378,0.0,0.0,0.1,1.0,1.6,374.0,0.303,0.026,1289.0,0.5,0.308,0.3,0.8,0.424,1.1,,,,,,,,,0.4,,0.862,0.055,,2021-07-01
2021-04-01,L14,1,2021,57.1,5.7,64.4,,0.096,0.07,1075.0,676.0,27.0,102.0,1149.0,11432.0,,,,,,0.631,,,1.7,2.5,1.9,0.018,1144.0,0.413,0.326,0.375,0.0,0.0,0.1,0.8,1.6,299.0,0.456,0.093,1724.0,0.3,-0.002,0.2,0.8,0.326,1.5,,,,,,,,,0.6,,0.098,0.024,,2021-04-01
2021-01-01,L14,4,2020,40.9,4.1,88.6,,0.096,0.072,994.0,610.0,43.0,100.6,1129.0,11162.0,,,,,,0.674,,,2.1,2.8,2.1,-0.26,1042.0,0.414,0.182,0.235,0.0,0.0,0.3,0.7,1.5,295.0,0.279,0.048,1561.0,0.4,-0.001,0.2,0.9,0.182,1.5,,,,,,,,,0.5,,-0.46,0.02,,2021-01-01
2020-10-01,L14,3,2020,28.0,3.9,37.6,,0.134,0.099,738.0,530.0,34.0,70.1,1526.0,10944.0,,,,,,0.685,,,2.2,2.9,2.2,-0.165,1930.0,0.485,0.261,0.422,0.0,0.0,0.2,0.1,1.5,290.0,0.07,0.016,1233.0,0.5,-0.002,0.3,1.0,0.261,1.7,,,,,,,,,0.4,,-0.385,0.03,,2020-10-01
2020-07-01,L14,2,2020,21.2,3.7,23.8,,0.169,0.122,571.0,466.0,35.0,47.4,1828.0,10624.0,,,,,,0.706,,,2.4,3.1,2.3,-0.211,3138.0,0.465,0.221,0.346,0.0,0.0,0.1,0.5,1.4,281.0,0.112,0.029,1003.0,0.6,0.215,0.4,0.8,0.221,2.0,,,,,,,,,0.4,,-0.248,-0.155,,2020-07-01
2020-04-01,L14,1,2020,12.8,2.4,17.3,,0.198,0.159,488.0,406.0,33.0,42.2,2317.0,12571.0,,,,,,0.849,,,5.8,6.5,4.7,-0.221,4173.0,0.317,0.165,0.263,0.0,0.0,0.1,0.0,1.2,346.0,0.023,0.007,861.0,0.7,-0.003,0.5,0.8,0.165,2.0,,,,,,,,,0.2,,-0.165,-0.114,,2020-04-01
2020-01-01,L14,4,2019,15.5,3.3,12.9,,0.228,0.173,19.0,413.0,42.0,71.3,2975.0,14188.0,,,,,,0.821,,,4.7,5.4,3.9,-0.036,4997.0,0.465,0.291,0.275,0.0,0.0,0.1,2.0,1.2,341.0,0.053,0.019,391.0,18.9,-0.003,0.6,1.3,0.291,1.2,,,,,,,,,0.2,,-0.132,0.04,,2020-01-01
2019-10-01,L14,3,2019,12.6,2.9,11.6,,0.251,0.188,20.0,494.0,30.0,100.7,3085.0,13648.0,,,,,,0.798,,,4.1,4.9,3.3,-0.082,5759.0,0.528,0.326,0.335,0.0,0.0,0.1,3.1,1.3,337.0,0.01,0.003,483.0,18.6,-0.001,0.6,1.3,0.326,1.3,,,,,,,,,0.2,,-0.184,0.079,,2019-10-01
2019-07-01,L14,2,2019,9.0,2.4,9.7,,0.298,0.202,22.0,510.0,33.0,116.0,3361.0,12645.0,,,,,,0.732,,,2.8,3.6,2.3,-0.038,7061.0,0.482,0.323,0.327,0.0,0.0,0.1,0.9,1.4,310.0,0.029,0.01,500.0,16.3,0.034,0.6,1.3,0.323,1.3,,,,,,,,,0.4,,-0.316,0.015,,2019-07-01
2019-04-01,L14,1,2019,6.9,1.9,8.0,,0.386,0.253,24.0,586.0,32.0,161.7,3494.0,12456.0,,,,,,0.758,,,3.2,3.8,2.1,0.042,10329.0,0.511,0.382,0.32,0.0,0.0,0.1,0.3,1.3,285.0,0.028,0.01,578.0,15.1,0.0,0.7,1.3,0.382,1.0,,,,,,,,,0.3,,0.038,0.044,,2019-04-01
2019-01-01,L14,4,2018,6.0,1.7,4.9,,0.387,0.238,39.0,636.0,45.0,291.1,3353.0,11928.0,,,,,,0.7,,,2.3,3.0,1.6,0.075,9955.0,0.545,0.375,0.303,0.0,0.0,0.1,0.0,1.4,263.0,0.05,0.028,630.0,9.4,-0.001,0.7,1.3,0.375,1.0,,,,,,,,,0.4,,0.037,0.094,,2019-01-01
