index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2022-07-01,PVS,2,2022,20.1,0.9,16.1,,0.044,0.021,159.0,46.0,115.0,-21.4,1105.0,24871.0,,,,,,0.475,,,1.0,1.8,1.7,-0.215,730.0,0.038,,0.002,0.1,0.0,3.4,1.5,2.1,7059.0,0.546,0.651,90.0,2.3,-0.081,0.7,0.1,,-0.3,,,,,,,,,1.0,,-0.383,-0.011,,2022-07-01
2022-04-01,PVS,1,2022,22.9,1.3,11.2,,0.055,0.027,166.0,48.0,115.0,2.3,1409.0,25141.0,,,,,,0.488,,,1.1,1.8,1.7,0.119,1183.0,0.051,0.007,0.057,0.1,0.0,2.2,1.4,2.1,6914.0,0.512,0.6,99.0,2.2,-0.088,0.6,0.7,0.007,11.5,,,,,,,,,0.9,,0.12,0.019,,2022-04-01
2022-01-01,PVS,4,2021,20.6,1.1,15.5,,0.05,0.024,177.0,60.0,143.0,5.4,1259.0,24673.0,,,,,,0.478,,,1.0,1.8,1.5,0.018,1057.0,0.056,0.013,0.018,0.2,0.1,3.2,0.5,2.1,6820.0,0.46,0.489,93.0,2.1,-0.081,0.6,0.7,0.013,1.9,,,,,,,,,1.0,,-6.269,-0.046,,2022-01-01
2021-10-01,PVS,3,2021,22.9,1.1,-102.9,,0.048,0.023,185.0,57.0,121.0,-0.5,1237.0,25862.0,,,,,,0.497,,,1.1,1.9,1.6,0.042,-201.0,0.051,,0.056,0.1,0.0,-12.7,1.6,2.0,7263.0,0.448,0.424,121.0,2.0,-0.124,0.6,0.8,,-45.9,,,,,,,,,0.9,,-1.551,0.012,,2021-10-01
2021-07-01,PVS,2,2021,23.4,1.1,68.7,,0.046,0.022,159.0,52.0,110.0,-1.4,1187.0,25556.0,,,,,,0.497,,,1.1,1.9,1.5,-0.168,364.0,0.078,,0.05,0.1,0.0,7.1,1.6,2.0,7038.0,0.342,0.305,101.0,2.3,-0.142,0.6,0.8,,-12.5,,,,,,,,,0.9,,-0.445,-0.005,,2021-07-01
2021-04-01,PVS,1,2021,15.5,0.9,29.3,,0.056,0.027,135.0,37.0,86.0,-2.9,1426.0,25698.0,,,,,,0.499,,,1.1,1.9,1.6,0.051,656.0,0.068,,0.055,0.1,0.1,4.1,1.7,2.0,7051.0,0.332,0.376,87.0,2.7,-0.126,0.8,0.7,,-6.4,,,,,,,,,0.9,,-0.217,0.009,,2021-04-01
2021-01-01,PVS,4,2020,12.6,0.7,13.1,,0.054,0.025,129.0,31.0,92.0,-42.9,1357.0,25462.0,,,,,,0.461,,,1.0,1.7,1.5,-0.323,838.0,,,0.014,0.1,0.0,3.2,1.5,2.2,6967.0,0.401,0.539,68.0,2.8,-0.146,0.8,0.5,,-0.3,,,,,,,,,1.0,,-0.566,-0.028,,2021-01-01
2020-10-01,PVS,3,2020,6.1,0.5,3.4,,0.077,0.036,158.0,30.0,91.0,18.3,2004.0,26193.0,,,,,,0.463,,,1.0,1.8,1.6,0.164,1931.0,0.073,0.042,0.033,0.1,0.0,1.3,1.4,2.2,7720.0,0.478,0.848,97.0,2.3,-0.18,0.7,0.7,0.042,1.1,,,,,,,,,1.0,,0.305,0.014,,2020-10-01
2020-07-01,PVS,2,2020,6.2,0.4,3.6,,0.067,0.031,169.0,28.0,107.0,7.4,1722.0,25824.0,,,,,,0.454,,,0.9,1.8,1.6,0.062,1480.0,0.044,0.021,0.048,0.1,0.0,1.7,1.4,2.2,7547.0,0.432,0.906,89.0,2.2,-0.254,0.6,0.6,0.021,3.8,,,,,,,,,1.1,,0.101,0.008,,2020-07-01
2020-04-01,PVS,1,2020,5.0,0.3,3.2,,0.063,0.031,169.0,22.0,83.0,3.0,1622.0,25609.0,,,,,,0.481,,,1.0,1.9,1.7,-0.249,1344.0,0.059,0.013,0.034,0.1,0.1,1.8,1.3,2.1,7166.0,0.435,1.0,108.0,2.2,-0.287,0.6,0.6,0.013,4.1,,,,,,,,,1.0,,-0.238,0.035,,2020-04-01
2020-01-01,PVS,4,2019,7.3,0.6,-0.1,,0.089,0.043,64.0,18.0,81.0,-1.2,2160.0,24741.0,,,,,,0.472,,,1.0,1.9,1.7,0.051,1764.0,0.034,-0.005,0.119,0.1,0.1,1.3,1.3,2.1,7044.0,0.555,1.287,1.0,5.7,-0.288,0.7,1.3,-0.005,-32.1,,,,,,,,,1.0,,-0.202,-0.033,,2020-01-01
2019-10-01,PVS,3,2019,8.6,0.7,3.2,,0.085,0.039,72.0,14.0,77.0,7.4,2056.0,25589.0,,,,,,0.47,,,1.0,1.9,1.8,-0.14,2212.0,0.048,0.012,0.013,0.1,0.0,1.0,1.8,2.1,7837.0,0.567,0.841,9.0,5.1,-0.204,0.7,2.2,0.012,2.6,,,,,,,,,1.0,,-0.049,-0.005,,2019-10-01
2019-07-01,PVS,2,2019,8.4,0.8,2.7,,0.099,0.046,86.0,14.0,92.0,9.6,2391.0,25728.0,,,,,,0.475,,,1.0,1.9,1.8,-0.015,2326.0,0.078,0.014,0.045,0.1,0.0,0.9,2.1,2.1,7805.0,0.606,0.88,8.0,4.3,-0.131,0.6,1.1,0.014,3.4,,,,,,,,,1.0,,0.155,0.006,,2019-07-01
2019-04-01,PVS,1,2019,7.4,0.7,7.6,,0.101,0.05,93.0,10.0,68.0,39.0,2426.0,25565.0,,,,,,0.51,,,1.2,2.0,2.0,0.111,2014.0,0.103,0.065,0.09,0.1,0.0,1.1,2.5,2.0,7561.0,0.412,0.508,34.0,3.9,-0.095,0.7,1.3,0.065,1.8,,,,,,,,,0.8,,0.069,0.079,,2019-04-01
2019-01-01,PVS,4,2018,7.0,0.6,7.4,,0.095,0.046,80.0,12.0,82.0,24.2,2185.0,23686.0,,,,,,0.502,,,1.2,2.0,2.0,0.25,1884.0,0.13,0.044,0.101,0.1,0.0,1.2,3.7,2.0,6979.0,0.529,0.578,10.0,4.6,-0.108,0.6,0.5,0.044,1.2,,,,,,,,,0.9,,0.602,0.043,,2019-01-01
2018-10-01,PVS,3,2018,10.5,0.8,8.0,,0.078,0.035,65.0,18.0,66.0,15.2,1747.0,22714.0,,,,,,0.456,,,1.0,1.8,1.8,0.154,1176.0,0.065,0.023,0.06,0.1,0.0,2.1,0.2,2.2,6287.0,0.567,0.765,17.0,5.6,-0.137,0.7,1.1,0.023,2.9,,,,,,,,,1.0,,0.451,0.013,,2018-10-01
2018-07-01,PVS,2,2018,9.1,0.6,14.3,,0.068,0.03,84.0,19.0,73.0,-13.1,1514.0,22428.0,,,,,,0.449,,,1.0,1.8,1.7,-0.093,811.0,0.02,-0.024,0.054,0.1,0.0,3.2,0.2,2.2,5871.0,0.471,0.634,29.0,4.4,-0.141,0.7,1.1,-0.024,-2.4,,,,,,,,,1.0,,-0.481,-0.004,,2018-07-01
2018-04-01,PVS,1,2018,10.0,0.7,4.7,,0.075,0.034,80.0,18.0,68.0,24.1,1670.0,22520.0,,,,,,0.472,,,1.1,1.9,1.9,-0.003,1563.0,0.096,0.054,0.076,0.1,0.1,1.9,0.3,2.1,6063.0,0.447,0.716,29.0,4.6,-0.126,0.7,1.2,0.054,1.7,,,,,,,,,0.9,,-0.019,0.004,,2018-04-01
