index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2022-07-01,KDC,2,2022,32.5,2.7,19.3,,0.089,0.041,64.0,58.0,20.0,5.5,1926.0,22994.0,,,,,,0.502,,,1.1,1.3,1.0,-0.073,3434.0,0.257,0.081,0.06,0.5,0.3,3.8,4.0,2.0,1454.0,0.199,0.086,102.0,5.7,-0.089,0.9,0.8,0.081,1.0,,,,,,,,,0.9,,0.065,0.01,,2022-07-01
2022-04-01,KDC,1,2022,24.7,2.3,20.7,,0.097,0.046,65.0,62.0,11.0,3.0,2077.0,22759.0,,,,,,0.508,,,1.1,1.3,0.9,-0.058,3224.0,0.19,0.053,0.037,0.6,0.3,4.2,4.2,2.0,1357.0,0.135,0.06,116.0,5.6,-0.09,0.9,0.7,0.053,1.0,,,,,,,,,0.9,,0.031,-0.088,,2022-04-01
2022-01-01,KDC,4,2021,24.0,2.1,19.1,,0.095,0.044,57.0,80.0,25.0,3.8,2203.0,24955.0,,,,,,0.472,,,1.0,1.3,0.8,0.157,3127.0,0.203,0.061,0.043,0.7,0.3,4.1,3.7,2.1,1613.0,0.186,0.098,112.0,6.4,-0.087,0.8,0.7,0.061,1.1,,,,,,,,,1.1,,0.147,0.112,,2022-01-01
2021-10-01,KDC,3,2021,30.0,2.5,23.6,,0.087,0.04,93.0,55.0,15.0,1.8,1904.0,22435.0,,,,,,0.437,,,1.4,1.7,1.3,0.02,2726.0,0.192,0.03,0.045,0.5,0.3,4.0,2.7,2.3,2888.0,0.253,0.149,133.0,3.9,-0.051,0.8,0.8,0.03,1.9,,,,,,,,,0.7,,-0.077,0.019,,2021-10-01
2021-07-01,KDC,2,2021,32.1,2.7,21.5,,0.087,0.039,91.0,55.0,18.0,4.9,1866.0,22006.0,,,,,,0.431,,,1.4,1.7,1.3,0.734,2952.0,0.195,0.086,0.097,0.5,0.3,3.8,2.6,2.3,2754.0,0.226,0.134,128.0,4.0,-0.053,0.7,1.3,0.086,0.8,,,,,,,,,0.7,,0.194,0.011,,2021-07-01
2021-04-01,KDC,1,2021,47.3,2.3,27.8,,0.049,0.023,100.0,55.0,10.0,3.1,1076.0,21761.0,,,,,,0.45,,,1.5,1.7,1.4,0.351,2472.0,0.19,0.054,0.04,0.5,0.3,4.3,3.6,2.2,2596.0,0.168,0.094,145.0,3.7,-0.04,0.7,0.6,0.054,1.2,,,,,,,,,0.7,,0.164,-0.022,,2021-04-01
2021-01-01,KDC,4,2020,45.0,1.6,26.7,,0.035,0.017,86.0,58.0,24.0,1.8,797.0,22255.0,,,,,,0.463,,,1.6,1.4,1.1,0.347,2124.0,0.192,0.021,0.022,0.3,0.2,3.9,286.3,2.2,1675.0,0.143,0.094,120.0,4.3,-0.04,0.7,0.6,0.021,1.6,,,,,,,,,0.6,,0.042,0.007,,2021-01-01
2020-10-01,KDC,3,2020,58.3,1.6,24.8,,0.026,0.013,103.0,51.0,18.0,4.2,591.0,22103.0,,,,,,0.479,,,2.0,1.7,1.4,1.209,2039.0,0.227,0.059,0.045,0.3,0.2,4.0,9.4,2.1,2108.0,0.12,0.1,137.0,3.5,-0.032,0.7,0.7,0.059,1.1,,,,,,,,,0.5,,0.233,0.019,,2020-10-01
2020-07-01,KDC,2,2020,95.8,1.2,25.8,,0.012,0.006,107.0,67.0,29.0,2.8,267.0,21698.0,,,,,,0.462,,,1.9,1.6,1.3,-0.068,1653.0,0.229,0.048,0.02,0.3,0.2,5.2,10.2,2.2,2006.0,0.129,0.138,145.0,3.4,-0.023,0.6,0.3,0.048,1.3,,,,,,,,,0.5,,0.101,-0.055,,2020-07-01
2020-04-01,KDC,1,2020,45.3,0.6,27.0,,0.012,0.006,119.0,62.0,20.0,0.9,287.0,22953.0,,,,,,0.505,,,2.3,1.9,1.6,0.056,1502.0,0.2,0.016,0.007,0.2,0.2,5.9,8.8,2.0,2276.0,0.043,0.055,161.0,3.1,-0.02,0.6,0.2,0.016,2.3,,,,,,,,,0.4,,0.177,-0.01,,2020-04-01
2020-01-01,KDC,4,2019,65.9,0.8,20.1,,0.012,0.006,29.0,68.0,32.0,-0.1,272.0,23182.0,,,,,,0.49,,,2.2,1.8,1.5,-0.379,1276.0,0.185,-0.002,-0.001,0.2,0.2,6.2,8.1,2.0,2226.0,0.064,0.147,65.0,12.6,-0.015,0.6,-26.5,-0.002,-17.1,,,,,,,,,0.5,,0.201,-0.012,,2020-01-01
2019-10-01,KDC,3,2019,40.7,0.8,25.4,,0.018,0.009,30.0,67.0,24.0,0.7,438.0,23471.0,,,,,,0.482,,,2.1,1.9,1.5,0.052,1062.0,0.235,0.017,0.011,0.2,0.2,7.6,4.5,2.1,2463.0,0.163,0.342,73.0,12.4,-0.018,0.6,3.5,0.017,2.3,,,,,,,,,0.5,,0.396,0.003,,2019-10-01
2019-07-01,KDC,2,2019,40.4,0.7,38.7,,0.018,0.008,31.0,72.0,33.0,1.0,416.0,23392.0,,,,,,0.468,,,1.9,1.8,1.4,0.709,761.0,0.289,0.028,0.026,0.3,0.2,10.4,4.2,2.1,2462.0,0.175,0.316,70.0,11.9,-0.019,0.6,2.1,0.028,2.0,,,,,,,,,0.5,,0.563,-0.029,,2019-07-01
2019-04-01,KDC,1,2019,76.1,0.8,64.3,,0.01,0.005,28.0,63.0,20.0,-0.9,243.0,24102.0,,,,,,0.485,,,2.0,1.9,1.5,0.272,487.0,0.205,-0.022,0.004,0.3,0.2,17.8,4.6,2.1,2541.0,0.084,0.181,70.0,13.1,-0.025,0.6,10.7,-0.022,-1.8,,,,,,,,,0.5,,-0.008,-0.091,,2019-04-01
2019-01-01,KDC,4,2018,110.7,0.8,63.8,,0.007,0.004,28.0,63.0,30.0,-1.9,191.0,26516.0,,,,,,0.484,,,2.0,2.0,1.5,-2.451,491.0,0.134,-0.031,0.021,0.3,0.2,17.3,2.6,2.1,2558.0,0.086,0.172,61.0,13.0,-0.031,0.6,2.3,-0.031,-1.5,,,,,,,,,0.5,,-0.196,0.004,,2019-01-01
2018-10-01,KDC,3,2018,-190.9,1.0,37.8,,-0.005,-0.003,30.0,52.0,24.0,-1.3,-132.0,26413.0,,,,,,0.493,,,2.2,2.3,1.8,0.794,610.0,0.191,-0.023,0.008,0.3,0.2,14.1,1.6,2.0,2850.0,0.081,0.154,59.0,12.0,0.093,0.6,2.4,-0.023,-0.8,,,,,,,,,0.5,,-0.255,0.002,,2018-10-01
2018-07-01,KDC,2,2018,-379.1,1.1,48.3,,-0.003,-0.001,29.0,53.0,19.0,-0.4,-73.0,26350.0,,,,,,0.489,,,2.2,2.2,1.8,-1.048,818.0,0.192,-0.007,0.0,0.2,0.2,10.3,1.3,2.0,2711.0,0.089,0.114,63.0,12.8,0.097,0.7,110.9,-0.007,-3.3,,,,,,,,,0.5,,0.063,-0.051,,2018-07-01
2018-04-01,KDC,1,2018,20.7,1.2,41.8,,0.057,0.036,25.0,52.0,16.0,-1.2,1542.0,27763.0,,,,,,0.591,,,2.7,2.8,2.2,-0.08,770.0,0.158,-0.029,-0.007,0.3,0.2,9.6,1.3,1.7,3102.0,0.083,0.093,61.0,14.3,0.133,0.8,-1.8,-0.029,-0.4,,,,,,,,,0.4,,-0.055,-0.011,,2018-04-01
2018-01-01,KDC,4,2017,19.7,1.2,35.7,,0.062,0.038,28.0,54.0,27.0,-0.8,1676.0,28064.0,,,,,,0.571,,,2.3,2.5,2.0,-0.307,815.0,0.192,-0.018,-0.018,0.3,0.2,9.6,1.3,1.8,3170.0,0.242,0.247,55.0,13.1,0.143,0.7,-1.0,-0.018,-1.0,,,,,,,,,0.4,,0.092,0.009,,2018-01-01
2017-10-01,KDC,3,2017,14.5,1.3,47.7,,0.09,0.059,31.0,35.0,21.0,0.2,2419.0,27804.0,,,,,,0.545,,,2.1,2.3,2.0,-0.603,746.0,0.205,0.004,0.014,0.3,0.2,7.1,0.9,1.8,3070.0,0.308,0.261,45.0,11.9,-0.153,0.6,2.8,0.004,9.6,,,,,,,,,0.5,,6.876,-0.052,,2017-10-01
2017-07-01,KDC,2,2017,6.2,1.3,329.0,,0.234,0.155,41.0,61.0,15.0,-0.9,6090.0,29345.0,,,,,,0.578,,,2.3,2.6,2.1,0.226,95.0,0.232,-0.02,0.218,0.3,0.2,62.5,1.1,1.7,3309.0,0.278,0.287,87.0,8.9,-0.086,0.5,1.1,-0.02,-12.1,,,,,,,,,0.4,,-0.622,0.127,,2017-07-01
2017-04-01,KDC,1,2017,6.8,1.3,154.8,,0.202,0.152,43.0,72.0,23.0,0.1,4967.0,26027.0,,,,,,0.69,,,2.6,3.6,3.1,-0.008,251.0,0.196,0.003,0.015,0.3,0.2,17.1,0.8,1.4,3515.0,0.212,0.14,92.0,8.5,-0.397,0.4,2.2,0.003,11.9,,,,,,,,,0.4,,5.991,-0.011,,2017-04-01
2017-01-01,KDC,4,2016,5.9,1.1,905.1,,0.203,0.146,54.0,103.0,50.0,-0.2,5005.0,26307.0,,,,,,0.679,,,2.4,3.3,2.9,0.022,36.0,0.195,-0.004,0.171,0.3,0.2,108.3,0.9,1.5,3553.0,0.372,0.285,108.0,6.7,-0.455,0.3,1.3,-0.004,-50.0,,,,,,,,,0.4,,-1.471,0.025,,2017-01-01
