index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2021-07-01,VHC,2,2021,11.5,1.5,12.9,,0.135,0.098,130.0,97.0,14.0,37.3,3848.0,29071.0,,,,,,0.682,,,2.2,2.1,1.2,0.053,5161.0,0.185,0.12,0.111,0.3,0.2,1.4,19.8,1.5,2639.0,0.019,0.01,213.0,2.8,-0.242,1.1,0.9,0.12,1.1,,,,,,,,,0.5,,0.046,0.025,,2021-07-01
2021-04-01,VHC,1,2021,10.3,1.3,9.0,,0.132,0.1,140.0,92.0,15.0,21.7,3655.0,28350.0,,,,,,0.733,,,2.9,2.5,1.5,-0.049,4935.0,0.152,0.075,0.073,0.2,0.2,1.1,15.1,1.4,2583.0,0.027,0.02,216.0,2.6,-0.299,1.1,0.9,0.075,1.1,,,,,,,,,0.3,,0.025,0.008,,2021-04-01
2021-01-01,VHC,4,2020,10.4,1.4,8.3,,0.14,0.102,147.0,88.0,18.0,16.3,3843.0,28123.0,,,,,,0.717,,,2.5,2.4,1.7,-0.061,4816.0,0.116,0.066,0.079,0.2,0.2,1.2,16.0,1.4,2782.0,0.008,0.006,217.0,2.5,-0.366,1.0,0.9,0.066,1.3,,,,,,,,,0.4,,-0.293,-0.039,,2021-01-01
2020-10-01,VHC,3,2020,9.9,1.4,8.7,,0.148,0.111,152.0,95.0,16.0,19.0,4094.0,29272.0,,,,,,0.766,,,3.3,2.9,2.0,-0.095,6814.0,0.127,0.089,0.097,0.2,0.1,1.0,,1.3,3076.0,0.037,0.026,232.0,2.4,-0.421,1.1,0.9,0.089,1.2,,,,,,,,,0.3,,-0.095,0.034,,2020-10-01
2020-07-01,VHC,2,2020,7.2,1.1,8.2,,0.17,0.128,143.0,100.0,17.0,26.7,4522.0,28316.0,,,,,,0.769,,,3.3,2.9,2.0,-0.191,7525.0,0.2,0.156,0.135,0.2,0.1,0.9,,1.3,2971.0,0.028,0.018,226.0,2.6,-0.375,1.1,0.9,0.156,1.0,,,,,,,,,0.3,,-0.067,0.033,,2020-07-01
2020-04-01,VHC,1,2020,3.4,0.7,6.3,,0.219,0.161,121.0,87.0,14.0,10.9,5590.0,27415.0,,,,,,0.781,,,3.6,3.1,2.1,-0.138,8069.0,0.131,0.083,0.093,0.2,0.1,0.9,,1.3,2916.0,0.016,0.013,194.0,3.0,-0.33,1.2,0.9,0.083,1.3,,,,,,,,,0.3,,-0.143,0.023,,2020-04-01
2020-01-01,VHC,4,2019,5.8,1.4,4.8,,0.265,0.183,78.0,80.0,16.0,15.4,6487.0,26802.0,,,,,,0.737,,,2.8,2.7,1.9,-0.155,9411.0,0.141,0.088,0.092,0.2,0.1,0.8,,1.4,2897.0,0.018,0.016,142.0,4.7,-0.259,1.2,1.1,0.088,1.2,,,,,,,,,0.4,,-0.447,0.018,,2020-01-01
2019-10-01,VHC,3,2019,5.1,1.5,5.0,,0.326,0.224,56.0,76.0,11.0,19.5,7679.0,26334.0,,,,,,0.737,,,2.8,2.8,1.7,-0.203,17016.0,0.197,0.145,0.135,0.2,0.2,0.8,,1.4,2976.0,0.015,0.011,122.0,6.6,-0.586,1.4,1.1,0.145,1.0,,,,,,,,,0.4,,-0.2,0.056,,2019-10-01
2019-07-01,VHC,2,2019,4.4,1.7,4.2,,0.454,0.305,51.0,73.0,11.0,22.1,9631.0,24939.0,,,,,,0.726,,,2.7,2.6,1.5,0.055,21278.0,0.216,0.168,0.207,0.2,0.2,0.6,,1.4,2781.0,0.016,0.01,113.0,7.1,-0.634,1.6,1.1,0.168,1.3,,,,,,,,,0.4,,-0.021,0.05,,2019-07-01
2019-04-01,VHC,1,2019,4.6,1.8,4.7,,0.463,0.296,47.0,64.0,10.0,18.5,9131.0,23757.0,,,,,,0.691,,,2.2,2.2,1.3,0.144,21737.0,0.235,0.183,0.172,0.3,0.2,0.6,,1.4,2206.0,0.011,0.006,101.0,7.8,-0.589,1.7,1.1,0.183,1.1,,,,,,,,,0.4,,0.091,0.074,,2019-04-01
2019-01-01,VHC,4,2018,5.6,2.0,5.1,,0.418,0.256,61.0,65.0,12.0,23.8,7980.0,22116.0,,,,,,0.639,,,1.8,1.8,1.2,0.192,19920.0,0.208,0.171,0.151,0.3,0.2,0.7,,1.6,1888.0,0.011,0.005,114.0,5.9,-0.507,1.6,1.2,0.171,1.0,,,,,,,,,0.6,,0.14,0.064,,2019-01-01
2018-10-01,VHC,3,2018,6.5,2.1,5.7,,0.37,0.225,43.0,58.0,14.0,66.6,6698.0,20793.0,,,,,,0.631,,,1.7,2.0,1.5,0.565,17473.0,0.299,0.269,0.241,0.4,0.2,0.9,,1.6,2125.0,0.128,0.058,87.0,8.4,-0.37,1.6,1.2,0.269,1.0,,,,,,,,,0.6,,0.385,0.192,,2018-10-01
2018-07-01,VHC,2,2018,6.3,1.5,5.9,,0.268,0.148,60.0,57.0,13.0,33.6,4278.0,17446.0,,,,,,0.607,,,1.5,1.8,1.3,0.31,12616.0,0.206,0.195,0.147,0.4,0.2,1.5,28.5,1.6,1502.0,0.011,0.006,103.0,6.1,-0.323,1.6,1.2,0.195,0.9,,,,,,,,,0.6,,0.191,0.111,,2018-07-01
2018-04-01,VHC,1,2018,9.8,2.0,8.2,,0.223,0.121,43.0,59.0,11.0,7.8,3266.0,15698.0,,,,,,0.577,,,1.4,1.8,1.4,0.001,10595.0,0.141,0.056,0.054,0.5,0.3,1.6,2.9,1.7,1468.0,0.017,0.007,91.0,8.4,-0.324,1.7,1.2,0.056,1.1,,,,,,,,,0.7,,0.018,-0.022,,2018-04-01
2018-01-01,VHC,4,2017,7.2,1.5,8.8,,0.224,0.125,48.0,63.0,13.0,12.8,3262.0,16058.0,,,,,,0.581,,,1.4,1.8,1.1,0.168,10404.0,0.164,0.107,0.085,0.5,0.3,1.5,2.5,1.7,1316.0,0.016,0.006,98.0,7.6,-0.462,1.7,1.2,0.107,0.9,,,,,,,,,0.7,,0.159,0.045,,2018-01-01
2017-10-01,VHC,3,2017,8.1,1.5,7.8,,0.197,0.106,41.0,64.0,14.0,10.6,2793.0,15370.0,,,,,,0.577,,,1.4,1.8,1.1,0.079,8981.0,0.143,0.102,0.084,0.5,0.3,1.9,2.0,1.7,1272.0,0.028,0.015,91.0,9.0,-0.423,1.6,1.2,0.102,1.0,,,,,,,,,0.7,,0.073,0.064,,2017-10-01
