index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2021-01-01,KDH,4,2020,15.1,2.1,12.6,,0.146,0.085,670.0,1020.0,59.0,,1607.0,11337.0,,,,,,0.585,,,1.4,3.1,1.4,-0.019,2775.0,0.517,0.375,0.296,0.2,0.1,0.8,0.7,1.7,8820.0,0.224,0.088,1631.0,0.5,-1.069,0.3,0.8,0.375,0.9,,,,,,,,,0.7,,-0.016,0.049,,2021-01-01
2020-10-01,KDH,3,2020,12.2,1.9,10.2,,0.157,0.091,683.0,1062.0,35.0,,1638.0,10803.0,,,,,,0.526,,,1.1,2.7,1.3,0.059,2819.0,0.31,0.276,0.206,0.2,0.1,0.8,0.5,1.9,8592.0,0.358,0.163,1710.0,0.5,-1.445,0.3,0.8,0.276,1.0,,,,,,,,,0.9,,0.036,0.027,,2020-10-01
2020-07-01,KDH,2,2020,11.6,1.7,8.8,,0.154,0.089,888.0,1882.0,34.0,,1546.0,10520.0,,,,,,0.52,,,1.1,2.5,1.1,0.146,2722.0,0.531,0.435,0.323,0.2,0.1,0.8,0.4,1.9,8158.0,0.241,0.136,2735.0,0.4,-2.08,0.2,0.8,0.435,0.9,,,,,,,,,0.9,,0.004,-0.031,,2020-07-01
2020-04-01,KDH,1,2020,10.6,1.3,9.0,,0.131,0.084,1017.0,2123.0,30.0,,1349.0,10852.0,,,,,,0.572,,,1.4,2.8,1.2,-0.052,2713.0,0.478,0.339,0.22,0.1,0.1,0.7,0.4,1.7,8101.0,0.202,0.128,3110.0,0.4,-4.931,0.2,0.8,0.339,0.9,,,,,,,,,0.7,,0.055,-0.085,,2020-04-01
2020-01-01,KDH,4,2019,16.0,1.9,9.1,,0.126,0.078,153.0,1787.0,71.0,,1423.0,11859.0,,,,,,0.58,,,1.4,2.8,1.2,0.0,2571.0,0.614,0.537,0.425,0.1,0.1,0.7,0.6,1.7,7825.0,0.153,0.103,1868.0,2.4,-5.144,0.2,1.3,0.537,1.0,,,,,,,,,0.7,,-0.07,0.056,,2020-01-01
2019-10-01,KDH,3,2019,15.2,1.9,10.6,,0.135,0.088,72.0,1203.0,27.0,121.1,1423.0,11230.0,,,,,,0.65,,,1.9,3.3,1.2,0.162,2766.0,0.683,0.61,0.484,0.1,0.1,0.7,0.5,1.5,7106.0,0.138,0.071,1249.0,5.0,-7.026,0.3,1.3,0.61,1.0,,,,,,,,,0.5,,0.119,0.057,,2019-10-01
2019-07-01,KDH,2,2019,16.9,1.9,12.0,,0.119,0.08,62.0,1112.0,22.0,1587.4,1225.0,10625.0,,,,,,0.655,,,1.9,3.3,1.3,-0.022,2471.0,0.576,0.412,0.275,0.1,0.1,0.8,0.9,1.5,6674.0,0.223,0.107,1152.0,5.9,-5.901,0.3,1.3,0.412,0.9,,,,,,,,,0.5,,-0.052,-0.019,,2019-07-01
2019-04-01,KDH,1,2019,16.2,1.9,11.4,,0.122,0.085,63.0,950.0,17.0,22.7,1252.0,10835.0,,,,,,0.731,,,2.8,4.3,1.6,-0.004,2606.0,0.313,0.202,0.122,0.1,0.1,0.9,1.9,1.4,6798.0,0.192,0.108,996.0,5.8,-4.043,0.4,1.4,0.202,0.9,,,,,,,,,0.4,,-0.022,0.015,,2019-04-01
2019-01-01,KDH,4,2018,16.8,2.0,12.2,,0.134,0.082,82.0,1140.0,21.0,41.3,1258.0,10677.0,,,,,,0.67,,,2.1,4.3,1.7,0.505,2664.0,0.432,0.378,0.256,0.1,0.1,1.3,0.1,1.5,7359.0,0.266,0.143,1201.0,4.4,-5.106,0.3,1.3,0.378,0.9,,,,,,,,,0.5,,0.326,0.081,,2019-01-01
2018-10-01,KDH,3,2018,26.1,2.2,18.4,,0.106,0.058,66.0,1340.0,8.0,22.9,835.0,9874.0,,,,,,0.648,,,1.9,4.1,1.5,0.055,2009.0,0.586,0.487,0.412,0.2,0.1,2.6,0.1,1.5,6908.0,0.268,0.137,1397.0,5.5,-4.005,0.2,1.3,0.487,1.1,,,,,,,,,0.5,,0.006,-0.006,,2018-10-01
