index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2022-07-01,SLS,2,2022,5.1,1.3,9.0,,0.265,0.146,72.0,203.0,22.0,9.8,19162.0,77622.0,,,,,,0.551,,,1.2,1.4,0.5,-0.068,20713.0,0.308,0.297,0.285,0.7,0.4,2.4,10.2,1.8,210.0,0.009,0.005,253.0,5.1,-0.051,0.7,1.0,0.297,1.0,,,,,,,,,0.8,,-0.061,0.09,,2022-07-01
2022-04-01,SLS,1,2022,5.8,1.7,8.3,,0.315,0.159,43.0,218.0,73.0,8.2,20566.0,71223.0,,,,,,0.541,,,1.2,1.3,0.4,0.057,22055.0,0.212,0.186,0.178,0.6,0.3,1.9,7.0,1.8,137.0,0.019,0.009,188.0,8.5,-0.022,0.7,1.0,0.186,1.0,,,,,,,,,0.8,,0.033,0.089,,2022-04-01
2022-01-01,SLS,4,2021,6.9,2.0,8.7,,0.324,0.18,32.0,94.0,56.0,4.4,19465.0,65395.0,,,,,,0.575,,,1.4,1.2,0.7,0.044,21351.0,0.222,0.204,0.189,0.5,0.3,1.4,2.7,1.7,98.0,0.009,0.004,69.0,11.5,-0.037,0.8,1.0,0.204,0.9,,,,,,,,,0.7,,0.021,-0.066,,2022-01-01
2021-10-01,SLS,3,2021,8.8,2.4,9.0,,0.289,0.17,57.0,80.0,7.0,5.2,18651.0,69987.0,,,,,,0.615,,,1.6,1.5,1.0,0.115,20913.0,0.336,0.279,0.228,0.5,0.3,1.9,2.6,1.6,165.0,0.066,0.032,130.0,6.4,-0.005,0.8,1.0,0.279,0.8,,,,,,,,,0.6,,0.117,0.043,,2021-10-01
2021-07-01,SLS,2,2021,7.2,1.8,10.6,,0.267,0.141,48.0,135.0,34.0,15.9,16724.0,67073.0,,,,,,0.551,,,1.2,1.3,0.7,0.124,18726.0,0.347,0.335,0.327,0.6,0.4,2.4,3.1,1.8,132.0,0.007,0.003,150.0,7.5,-0.004,0.7,1.0,0.335,1.0,,,,,,,,,0.8,,0.086,0.131,,2021-07-01
2021-04-01,SLS,1,2021,8.0,2.0,9.5,,0.266,0.119,28.0,170.0,80.0,5.1,14877.0,59318.0,,,,,,0.468,,,0.9,1.1,0.5,0.166,17250.0,0.207,0.179,0.158,0.8,0.4,2.8,3.0,2.1,71.0,0.024,0.012,118.0,12.8,-0.02,0.7,1.0,0.179,0.9,,,,,,,,,1.1,,0.161,0.087,,2021-04-01
2021-01-01,SLS,4,2020,5.4,1.3,10.9,,0.245,0.117,8.0,66.0,62.0,4.3,12762.0,54577.0,,,,,,0.53,,,1.1,1.2,0.9,0.038,14858.0,0.222,0.2,0.161,0.5,0.3,2.7,0.9,1.9,51.0,0.007,0.003,13.0,42.9,-0.003,0.8,1.0,0.2,0.8,,,,,,,,,0.9,,0.01,-0.075,,2021-01-01
2020-10-01,SLS,3,2020,5.4,1.1,8.7,,0.22,0.11,28.0,91.0,22.0,2.1,12289.0,59034.0,,,,,,0.559,,,1.3,1.3,0.9,0.009,14704.0,0.206,0.178,0.134,0.7,0.4,3.3,1.6,1.8,95.0,0.03,0.02,97.0,13.0,-0.036,0.9,1.0,0.178,0.8,,,,,,,,,0.8,,-0.024,0.012,,2020-10-01
2020-07-01,SLS,2,2020,3.5,0.7,6.7,,0.222,0.098,21.0,131.0,79.0,6.4,12185.0,58334.0,,,,,,0.507,,,1.0,1.2,0.7,0.437,15070.0,0.241,0.229,0.209,0.8,0.4,3.4,2.0,2.0,81.0,0.008,0.008,74.0,17.0,-0.037,0.9,1.0,0.229,0.9,,,,,,,,,1.0,,0.297,0.113,,2020-07-01
2020-04-01,SLS,1,2020,4.2,0.7,9.2,,0.167,0.067,21.0,137.0,69.0,2.7,8479.0,52416.0,,,,,,0.425,,,0.7,1.1,0.5,0.332,11617.0,0.134,0.103,0.09,1.0,0.4,4.7,1.5,2.4,61.0,0.105,0.09,89.0,17.3,-0.059,0.9,1.0,0.103,0.9,,,,,,,,,1.4,,0.169,0.053,,2020-04-01
