index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2022-07-01,VIC,2,2022,-598.9,2.7,71.6,,-0.005,-0.001,3.0,311.0,70.0,-2.6,-122.0,27634.0,,,,,,0.2,,,0.3,1.0,0.7,-0.805,1350.0,,,0.253,1.3,0.3,30.9,0.4,5.0,-6620.0,0.32,0.199,244.0,113.3,-0.561,0.2,2.2,,-0.2,,,,,,,,,3.0,,-0.684,0.032,,2022-07-01
2022-04-01,VIC,1,2022,-128.7,3.0,26.4,,-0.026,-0.006,32.0,234.0,92.0,-4.5,-630.0,26765.0,,,,,,0.232,,,0.4,1.1,0.8,-0.13,4274.0,0.011,,0.135,1.1,0.3,9.2,0.3,4.3,21056.0,0.113,0.06,175.0,11.3,-0.416,0.3,1.3,,-0.3,,,,,,,,,2.3,,-0.125,0.027,,2022-04-01
2022-01-01,VIC,4,2021,-131.2,3.6,26.4,,-0.031,-0.007,13.0,215.0,86.0,-1.3,-724.0,26060.0,,,,,,0.233,,,0.6,1.1,0.8,-1.645,4884.0,0.239,,,0.8,0.3,7.3,0.2,4.3,18906.0,0.123,0.066,142.0,28.9,-0.32,0.3,,,1.9,,,,,,,,,1.7,,0.191,0.002,,2022-01-01
2021-10-01,VIC,3,2021,78.3,3.4,36.1,,0.047,0.01,46.0,243.0,83.0,1.7,1123.0,26004.0,,,,,,0.229,,,0.6,1.2,0.8,-0.306,4102.0,0.388,0.154,,0.8,0.3,9.4,0.2,4.4,32162.0,0.129,0.058,206.0,8.0,-0.322,0.3,,0.154,0.7,,,,,,,,,1.6,,0.223,0.114,,2021-10-01
2021-07-01,VIC,2,2021,65.4,4.5,46.3,,0.073,0.015,2.0,238.0,84.0,1.0,1618.0,23337.0,,,,,,0.213,,,0.5,1.1,0.7,-0.088,3355.0,0.279,0.071,0.039,1.0,0.3,12.2,0.3,4.7,8318.0,0.161,0.064,156.0,176.2,-0.23,0.3,0.4,0.071,1.4,,,,,,,,,1.9,,0.791,0.098,,2021-07-01
2021-04-01,VIC,1,2021,59.1,4.9,81.2,,0.085,0.016,1.0,269.0,82.0,-0.6,1773.0,21249.0,,,,,,0.194,,,0.5,1.0,0.6,0.32,1874.0,0.141,,0.09,1.0,0.3,21.3,0.3,5.2,305.0,0.165,0.065,188.0,502.3,-0.193,0.3,0.8,,-1.8,,,,,,,,,2.0,,0.13,0.026,,2021-04-01
2021-01-01,VIC,4,2020,71.5,4.6,104.1,,0.066,0.012,13.0,275.0,106.0,-1.5,1344.0,20710.0,,,,,,0.186,,,0.5,0.9,0.6,-0.406,1658.0,0.156,,0.031,1.0,0.3,22.7,0.3,5.4,-10221.0,0.208,0.064,181.0,28.9,-0.235,0.3,0.3,,-1.0,,,,,,,,,2.1,,-0.436,-0.038,,2021-01-01
2020-10-01,VIC,3,2020,35.9,3.8,48.1,,0.109,0.022,24.0,295.0,75.0,0.7,2263.0,21525.0,,,,,,0.191,,,0.4,1.0,0.6,0.137,2941.0,0.175,0.055,0.043,1.2,0.3,12.4,0.3,5.2,-538.0,0.243,0.09,244.0,15.5,-0.362,0.3,0.4,0.055,1.8,,,,,,,,,2.5,,-0.145,0.011,,2020-10-01
2020-07-01,VIC,2,2020,39.8,3.7,41.8,,0.094,0.02,52.0,291.0,51.0,-0.1,1989.0,21287.0,,,,,,0.19,,,0.4,1.0,0.5,0.099,3440.0,0.146,,0.088,1.2,0.3,10.4,0.4,5.3,-6815.0,0.218,0.079,292.0,7.0,-0.468,0.3,0.8,,-7.8,,,,,,,,,2.5,,-0.38,0.043,,2020-07-01
2020-04-01,VIC,1,2020,40.9,3.6,23.7,,0.104,0.019,44.0,286.0,55.0,-0.7,1810.0,20403.0,,,,,,0.188,,,0.4,1.0,0.6,-0.082,5550.0,0.129,,0.029,1.1,0.3,6.4,0.4,5.3,166.0,0.09,0.039,276.0,8.3,-0.638,0.3,0.1,,-1.8,,,,,,,,,2.4,,-0.044,0.016,,2020-04-01
