index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2020-01-01,SHS,4,2019,226.0,-0.337,-0.278,-111.0,116.0,-17.0,98.0,-0.377,-0.456,-54.0,42.0,36.0,36.0,-0.592,-0.658,,,,,,99.0,2020-01-01,2019-10-01
2019-10-01,SHS,3,2019,314.0,0.129,0.191,-120.0,194.0,-13.0,181.0,0.113,0.254,-54.0,129.0,104.0,104.0,0.095,0.906,,,,,,181.0,2019-10-01,2019-07-01
2019-07-01,SHS,2,2019,263.0,-0.09,-0.003,-107.0,156.0,-12.0,144.0,0.925,0.222,-78.0,67.0,55.0,55.0,0.386,-0.086,,,,,,144.0,2019-07-01,2019-04-01
2019-04-01,SHS,1,2019,264.0,-0.277,-0.227,-122.0,142.0,-24.0,118.0,-0.45,-0.252,-44.0,75.0,60.0,60.0,-0.559,-0.316,,,,,,118.0,2019-04-01,2019-01-01
2019-01-01,SHS,4,2018,342.0,-0.038,0.229,-168.0,173.0,-16.0,158.0,-0.171,-0.029,-47.0,112.0,88.0,88.0,-0.33,-0.082,,,,,,158.0,2019-01-01,2018-10-01
2018-10-01,SHS,3,2018,278.0,-0.065,-0.04,-101.0,177.0,-14.0,162.0,0.018,1.169,-51.0,112.0,95.0,95.0,-0.046,1.413,,,,,,163.0,2018-10-01,2018-07-01
2018-07-01,SHS,2,2018,289.0,0.021,-0.208,-204.0,86.0,-11.0,75.0,-0.533,-0.651,-58.0,17.0,39.0,39.0,-0.625,-0.709,,,,,,75.0,2018-07-01,2018-04-01
2018-04-01,SHS,1,2018,365.0,1.375,0.03,-139.0,227.0,-12.0,214.0,1.5,0.128,-46.0,169.0,136.0,136.0,2.006,0.04,,,,,,215.0,2018-04-01,2018-01-01
2018-01-01,SHS,4,2017,355.0,0.771,0.194,-149.0,206.0,-16.0,190.0,1.421,0.193,-47.0,145.0,131.0,131.0,2.156,0.307,,,,,,191.0,2018-01-01,2017-10-01
2017-10-01,SHS,3,2017,297.0,1.067,0.048,-132.0,165.0,-6.0,159.0,3.572,-0.005,-40.0,120.0,100.0,100.0,13.288,-0.051,,,,,,159.0,2017-10-01,2017-07-01
2017-07-01,SHS,2,2017,284.0,1.318,0.844,-113.0,171.0,-11.0,160.0,1.414,0.868,-31.0,130.0,105.0,105.0,3.037,1.331,,,,,,161.0,2017-07-01,2017-04-01
2017-04-01,SHS,1,2017,154.0,0.589,-0.232,-60.0,94.0,-8.0,86.0,1.18,0.092,-31.0,55.0,45.0,45.0,2.718,0.092,,,,,,86.0,2017-04-01,2017-01-01
2017-01-01,SHS,4,2016,200.0,-0.069,0.393,-105.0,95.0,-17.0,79.0,0.032,1.253,-38.0,41.0,41.0,41.0,-0.455,4.918,,,,,,79.0,2017-01-01,2016-10-01
2016-10-01,SHS,3,2016,144.0,0.373,0.175,-103.0,40.0,-6.0,35.0,1.572,-0.474,-28.0,7.0,7.0,7.0,-0.484,-0.732,,,,,,35.0,2016-10-01,2016-07-01
2016-07-01,SHS,2,2016,122.0,0.185,0.264,-50.0,72.0,-6.0,66.0,2.957,0.687,-43.0,24.0,26.0,26.0,0.555,1.147,,,,,,67.0,2016-07-01,2016-04-01
2016-04-01,SHS,1,2016,97.0,0.014,-0.55,-50.0,47.0,-7.0,39.0,,-0.483,-25.0,15.0,12.0,12.0,0.009,-0.84,,,,,,40.0,2016-04-01,2016-01-01
2016-01-01,SHS,4,2015,215.0,0.484,1.054,-124.0,91.0,-15.0,76.0,,4.614,,76.0,76.0,76.0,,4.595,,,,,,76.0,2016-01-01,2015-10-01
2015-10-01,SHS,3,2015,105.0,-0.053,0.015,-84.0,21.0,-7.0,14.0,,-0.192,,14.0,14.0,14.0,-0.787,-0.192,,,,,,15.0,2015-10-01,2015-07-01
2015-07-01,SHS,2,2015,103.0,0.444,0.081,-64.0,39.0,-22.0,17.0,,,,17.0,17.0,17.0,1.511,0.394,,,,,,18.0,2015-07-01,2015-04-01
2015-04-01,SHS,1,2015,95.0,0.315,-0.342,-77.0,18.0,,,,,,12.0,12.0,12.0,-0.834,,,,,,,,2015-04-01,2015-01-01
2015-01-01,SHS,4,2014,145.0,1.953,0.311,-113.0,32.0,,,,,,-21.0,-21.0,-21.0,,,,,,,,,2015-01-01,2014-10-01
2014-10-01,SHS,3,2014,111.0,4.318,0.548,-40.0,70.0,,,,,,64.0,64.0,64.0,,8.545,,,,,,,2014-10-01,2014-07-01
2014-07-01,SHS,2,2014,71.0,1.048,-0.015,-55.0,16.0,,,,,,7.0,7.0,7.0,0.225,-0.908,,,,,,,2014-07-01,2014-04-01
2014-04-01,SHS,1,2014,73.0,1.491,0.479,6.0,78.0,,,,,,72.0,72.0,72.0,7.321,9.942,,,,,,,2014-04-01,2014-01-01
2014-01-01,SHS,4,2013,49.0,-0.797,1.36,-29.0,20.0,,,,,,7.0,7.0,7.0,-0.887,,,,,,,,2014-01-01,2013-10-01
2013-10-01,SHS,3,2013,21.0,0.271,-0.404,-24.0,-3.0,-6.0,-9.0,,,0.0,-9.0,-9.0,-9.0,,,,,,,,-8.0,2013-10-01,2013-07-01
2013-07-01,SHS,2,2013,35.0,-0.466,0.198,-22.0,13.0,,,,,,5.0,5.0,5.0,,-0.373,,,,,,,2013-07-01,2013-04-01
2013-04-01,SHS,1,2013,29.0,-0.305,-0.88,-13.0,16.0,,,,,,9.0,9.0,9.0,-0.785,-0.852,,,,,,,2013-04-01,2013-01-01
2013-01-01,SHS,4,2012,242.0,2.286,13.792,-64.0,178.0,-120.0,59.0,,,0.0,59.0,59.0,59.0,126.211,,,,,,,60.0,2013-01-01,2012-10-01
2012-10-01,SHS,3,2012,16.0,-0.709,-0.749,-67.0,-51.0,,,,,,-59.0,-59.0,-59.0,,,,,,,,,2012-10-01,2012-07-01
2012-07-01,SHS,2,2012,65.0,0.147,0.557,-82.0,-17.0,,,,,,-9.0,-9.0,-9.0,,,,,,,,,2012-07-01,2012-04-01
2012-04-01,SHS,1,2012,42.0,0.076,-0.431,7.0,49.0,,,,,,40.0,40.0,40.0,,86.618,,,,,,,2012-04-01,2012-01-01
2012-01-01,SHS,4,2011,74.0,-0.529,0.31,-81.0,-7.0,,,,,,0.0,0.0,0.0,,0.508,,,,,,,2012-01-01,2011-10-01
2011-10-01,SHS,3,2011,56.0,0.056,-0.013,-47.0,9.0,,,,,,0.0,0.0,0.0,-0.849,,,,,,,,2011-10-01,2011-07-01
2011-07-01,SHS,2,2011,57.0,-0.402,0.461,-256.0,-199.0,,,,,,-334.0,-334.0,-334.0,,,,,,,,,2011-07-01,2011-04-01
