index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2019-07-01,SSI,2,2019,771.0,-0.139,0.087,-255.0,516.0,-50.0,466.0,0.256,0.154,-204.0,264.0,220.0,191.0,-0.369,-0.041,,,,,,476.0,2019-07-01,2019-04-01
2019-04-01,SSI,1,2019,709.0,-0.308,-0.192,-253.0,456.0,-52.0,404.0,-0.251,0.172,-165.0,246.0,198.0,199.0,-0.522,-0.046,,,,,,414.0,2019-04-01,2019-01-01
2019-01-01,SSI,4,2018,878.0,-0.144,0.004,-476.0,402.0,-58.0,345.0,-0.308,-0.419,-154.0,268.0,208.0,208.0,-0.397,-0.449,,,,,,355.0,2019-01-01,2018-10-01
2018-10-01,SSI,3,2018,874.0,0.383,-0.024,-238.0,636.0,-43.0,593.0,1.222,0.599,-138.0,469.0,378.0,379.0,0.744,0.254,,,,,,602.0,2018-10-01,2018-07-01
2018-07-01,SSI,2,2018,895.0,0.289,-0.127,-491.0,404.0,-33.0,371.0,-0.114,-0.311,-129.0,376.0,302.0,302.0,-0.008,-0.274,,,,,,377.0,2018-07-01,2018-04-01
2018-04-01,SSI,1,2018,1025.0,0.88,-0.001,-446.0,579.0,-40.0,539.0,0.318,0.083,-116.0,510.0,415.0,416.0,0.412,0.203,,,,,,545.0,2018-04-01,2018-01-01
2018-01-01,SSI,4,2017,1026.0,0.632,0.624,-470.0,556.0,-58.0,498.0,1.908,0.864,-105.0,426.0,347.0,346.0,2.372,0.594,,,,,,504.0,2018-01-01,2017-10-01
2017-10-01,SSI,3,2017,632.0,-0.132,-0.09,-331.0,301.0,-34.0,267.0,-0.463,-0.362,-86.0,244.0,217.0,217.0,-0.407,-0.287,,,,,,272.0,2017-10-01,2017-07-01
2017-07-01,SSI,2,2017,695.0,0.071,0.274,-232.0,463.0,-44.0,419.0,0.07,0.024,-76.0,371.0,304.0,304.0,0.185,0.033,,,,,,424.0,2017-07-01,2017-04-01
2017-04-01,SSI,1,2017,545.0,0.238,-0.133,-105.0,441.0,-32.0,409.0,0.595,1.389,-76.0,364.0,294.0,295.0,0.536,1.872,,,,,,414.0,2017-04-01,2017-01-01
2017-01-01,SSI,4,2016,629.0,0.495,-0.136,-420.0,209.0,-37.0,171.0,-0.314,-0.655,-70.0,121.0,102.0,103.0,-0.599,-0.72,,,,,,176.0,2017-01-01,2016-10-01
2016-10-01,SSI,3,2016,728.0,0.953,0.123,-196.0,532.0,-35.0,497.0,1.085,0.271,-76.0,447.0,365.0,366.0,1.514,0.424,,,,,,501.0,2016-10-01,2016-07-01
2016-07-01,SSI,2,2016,648.0,0.241,0.472,-218.0,430.0,-39.0,391.0,0.197,0.525,-67.0,345.0,286.0,257.0,-0.133,0.339,,,,,,395.0,2016-07-01,2016-04-01
2016-04-01,SSI,1,2016,440.0,0.902,0.047,-156.0,285.0,-29.0,256.0,1.463,0.028,-57.0,231.0,191.0,192.0,0.7,-0.251,,,,,,262.0,2016-04-01,2016-01-01
2016-01-01,SSI,4,2015,421.0,0.513,0.128,-130.0,291.0,-42.0,249.0,,0.047,-48.0,304.0,255.0,256.0,1.54,0.76,,,,,,255.0,2016-01-01,2015-10-01
2015-10-01,SSI,3,2015,373.0,-0.108,-0.287,-102.0,270.0,-32.0,238.0,,-0.27,-31.0,189.0,145.0,146.0,-0.225,-0.509,,,,,,244.0,2015-10-01,2015-07-01
2015-07-01,SSI,2,2015,523.0,0.06,1.256,-164.0,359.0,-32.0,327.0,,2.138,-26.0,406.0,327.0,296.0,0.055,1.626,,,,,,332.0,2015-07-01,2015-04-01
2015-04-01,SSI,1,2015,232.0,-0.384,-0.167,-99.0,132.0,-28.0,104.0,,,-21.0,155.0,113.0,113.0,-0.356,0.12,,,,,,110.0,2015-04-01,2015-01-01
