index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2014-04-01,ACB,1,2014,1055.0,-0.144,0.19,,,-951.0,1440.0,-0.001,0.402,,318.0,250.0,250.0,-0.186,,171,201,13,-170,489,,2014-04-01,2014-01-01
2014-01-01,ACB,4,2013,887.0,-0.444,-0.254,,,-1334.0,1027.0,0.029,-0.346,,-444.0,-293.0,-293.0,,,-90,207,23,-138,-307,,2014-01-01,2013-10-01
2013-10-01,ACB,3,2013,1189.0,-0.259,0.102,,,-955.0,1571.0,1.663,-0.024,,534.0,401.0,401.0,,-0.022,175,196,12,-82,616,,2013-10-01,2013-07-01
2013-07-01,ACB,2,2013,1079.0,-0.483,-0.124,,,-1002.0,1610.0,-0.289,0.117,,551.0,410.0,410.0,-0.468,0.334,334,196,0,-57,608,,2013-07-01,2013-04-01
2013-04-01,ACB,1,2013,1232.0,-0.236,-0.227,,,-844.0,1441.0,-0.305,0.444,,395.0,307.0,307.0,-0.633,,41,171,-3,-202,597,,2013-04-01,2013-01-01
2013-01-01,ACB,4,2012,1594.0,-0.216,-0.006,,,-1303.0,998.0,-0.632,0.691,,-215.0,-159.0,-159.0,,,-770,165,9,90,-305,,2013-01-01,2012-10-01
2012-10-01,ACB,3,2012,1605.0,-0.002,-0.231,,,-1007.0,590.0,-0.666,-0.739,,-691.0,-521.0,-521.0,,,-1182,173,-6,-274,-417,,2012-10-01,2012-07-01
2012-07-01,ACB,2,2012,2087.0,0.235,0.295,,,-1075.0,2265.0,0.346,0.092,,1006.0,770.0,770.0,0.367,-0.08,-17,191,4,-184,1190,,2012-07-01,2012-04-01
2012-04-01,ACB,1,2012,1612.0,0.271,-0.208,,,-851.0,2073.0,0.378,-0.235,,1102.0,837.0,837.0,0.316,-0.384,293,174,-5,-119,1222,,2012-04-01,2012-01-01
2012-01-01,ACB,4,2011,2034.0,0.555,0.265,,,-1067.0,2711.0,0.51,0.537,,1654.0,1360.0,1360.0,0.598,1.065,315,310,51,10,1644,,2012-01-01,2011-10-01
2011-10-01,ACB,3,2011,1608.0,0.414,-0.048,,,-793.0,1764.0,0.344,0.049,,879.0,659.0,659.0,0.376,0.169,9,143,4,-92,971,,2011-10-01,2011-07-01
2011-07-01,ACB,2,2011,1689.0,0.683,0.332,,,-723.0,1682.0,0.249,0.118,,822.0,564.0,564.0,-0.012,-0.114,-38,59,-28,-137,960,,2011-07-01,2011-04-01
2011-04-01,ACB,1,2011,1269.0,0.749,-0.03,,,-565.0,1504.0,0.449,-0.162,,863.0,636.0,636.0,0.45,-0.253,-56,321,-29,-76,939,,2011-04-01,2011-01-01
2011-01-01,ACB,4,2010,1308.0,0.6,0.15,,,-646.0,1796.0,0.284,0.368,,1105.0,851.0,851.0,0.276,0.778,32,432,23,-45,1150,,2011-01-01,2010-10-01
2010-10-01,ACB,3,2010,1137.0,0.553,0.133,,,-571.0,1313.0,0.118,-0.025,,667.0,479.0,479.0,-0.036,-0.161,26,144,6,-75,742,,2010-10-01,2010-07-01
2010-07-01,ACB,2,2010,1004.0,0.367,0.384,,,-501.0,1347.0,-0.028,0.298,,755.0,571.0,571.0,-0.167,0.301,204,118,21,-91,846,,2010-07-01,2010-04-01
2010-04-01,ACB,1,2010,725.0,0.404,-0.113,,,-442.0,1038.0,0.062,-0.258,,578.0,439.0,439.0,0.244,-0.342,185,127,0,-17,595,,2010-04-01,2010-01-01
2010-01-01,ACB,4,2009,817.0,-0.79,0.116,,,-528.0,1399.0,-0.641,0.191,,865.0,667.0,667.0,-0.342,0.343,231,234,116,-5,871,,2010-01-01,2009-10-01
2009-10-01,ACB,3,2009,732.0,-0.771,-0.003,,,-425.0,1174.0,-0.633,-0.153,,642.0,496.0,496.0,0.664,-0.276,176,257,8,-107,749,,2009-10-01,2009-07-01
2009-07-01,ACB,2,2009,734.0,-0.728,0.422,,,-441.0,1385.0,-0.487,0.418,,868.0,685.0,685.0,0.502,0.944,393,248,11,-77,945,,2009-07-01,2009-04-01
2009-04-01,ACB,1,2009,517.0,-0.071,-0.868,,,-416.0,977.0,0.137,-0.749,,463.0,353.0,353.0,-0.196,-0.652,309,130,21,-98,561,,2009-04-01,2009-01-01
2009-01-01,ACB,4,2008,3899.0,9.575,0.218,,,-2731.0,3899.0,3.37,0.218,,1168.0,1014.0,1014.0,0.743,2.397,0,0,0,0,1168,,2009-01-01,2008-10-01
2008-10-01,ACB,3,2008,3201.0,9.053,0.184,,,-2853.0,3201.0,4.373,0.184,,348.0,298.0,298.0,-0.2,-0.346,0,0,0,0,348,,2008-10-01,2008-07-01
2008-07-01,ACB,2,2008,2703.0,4.787,3.864,,,-2175.0,2703.0,4.787,2.147,,528.0,456.0,456.0,0.045,0.04,0,0,0,0,528,,2008-07-01,2008-04-01
2008-04-01,ACB,1,2008,556.0,0.345,0.507,,,-273.0,859.0,1.08,-0.037,,513.0,438.0,438.0,0.22,-0.246,142,135,25,-73,586,,2008-04-01,2008-01-01
2008-01-01,ACB,4,2007,369.0,0.954,0.158,,,-242.0,892.0,2.737,0.498,,618.0,582.0,582.0,2.16,0.56,476,56,-8,-33,650,,2008-01-01,2007-10-01
2007-10-01,ACB,3,2007,318.0,,-0.318,,,-191.0,596.0,,0.276,,373.0,373.0,373.0,,-0.145,133,42,103,-32,405,,2007-10-01,2007-07-01
2007-07-01,ACB,2,2007,467.0,,0.131,,,0.0,467.0,,0.131,,467.0,436.0,436.0,,0.214,0,0,0,0,467,,2007-07-01,2007-04-01
2007-04-01,ACB,1,2007,413.0,,1.189,,,0.0,413.0,,0.73,,413.0,360.0,360.0,,0.953,0,0,0,0,413,,2007-04-01,2007-01-01
2007-01-01,ACB,4,2006,189.0,,,,,0.0,239.0,,,,239.0,184.0,184.0,,,0,39,11,0,239,,2007-01-01,2006-10-01
