ticker,stock,issuer,cw_issuer,type,exercise_type,exercise_method,term,issue_date,listing_date,first_trade_date,last_trade_date,maturity_date,conversion_ratio,adjusted_conversion_ratio,issue_price,exercise_price,adjusted_exercise_price,listed_volume,circulating_volume,listing_change
CHPG2003,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2020-01-17,2020-02-14,2020-02-18,2020-04-29,2020-04-05,3 : 1,,1570,22100,,6000000,6000000,-98.66
CHPG2004,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2020-02-14,2020-11-03,2020-03-13,2020-11-06,2020-06-15,1 : 1,,2800,23500,,5000000,5000000,18.86
CHPG2005,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán VNDIRECT (VND),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-01-04,2020-04-23,2020-04-27,2020-09-29,2020-01-10,0.8190 : 1,0.8190 : 1,2100,15561,15561,2000000,2000000,274.89
CHPG2006,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2020-04-16,2020-07-05,2020-11-05,2020-09-14,2020-09-16,1.6380 : 1,1.6380 : 1,1500,18035,18035,4000000,4000000,85.31
CHPG2007,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2020-04-16,2020-07-05,2020-11-05,2020-07-14,2020-07-16,1 : 1,,1660,22999,,2500000,2500000,147.94
CHPG2008,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-05-29,2020-11-06,2020-06-15,2020-11-26,2020-11-30,0.8190 : 1,0.8190 : 1,4100,22932,22932,5000000,5000000,227.0
CHPG2009,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-04-29,2020-12-06,2020-06-16,2020-10-27,2020-10-29,1.6380 : 1,1.6380 : 1,1600,18428,18428,5000000,5000000,222.0
CHPG2010,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,10 tháng,2020-03-06,2020-06-24,2020-06-26,2021-01-04,2021-05-04,3.2761 : 1,3.2761 : 1,1800,27109,27109,2000000,2000000,174.95
CHPG2011,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,3.5 tháng,2020-06-07,2020-07-21,2020-07-23,2020-10-16,2020-10-20,1.6380 : 1,1.6380 : 1,2350,20639,20639,4000000,4000000,94.31
CHPG2012,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-07-17,2020-07-31,2020-04-08,2021-01-14,2021-01-18,0.82 : 1,,6100,21680,,3000000,3000000,362.31
CHPG2101,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2020-12-22,2021-01-14,2021-01-18,2021-09-20,2021-09-22,2.9389 : 1,2.9389 : 1,1050,34450,34450,2000000,2000000,250.99
CHPG2102,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-05-01,2021-01-14,2021-01-18,2021-01-07,2021-05-07,0.7347 : 1,0.7347 : 1,6600,30124,30124,2000000,2000000,228.58
CHPG2103,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán VNDIRECT (VND),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-06-01,2021-05-02,2021-09-02,2021-02-07,2021-06-07,1.4694 : 1,1.4694 : 1,3900,30858,30858,4000000,4000000,174.4
CHPG2104,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2021-05-02,2021-03-03,2021-05-03,2021-01-07,2021-05-07,2.2042 : 1,2.2042 : 1,1500,32916,32916,2000000,2000000,292.01
CHPG2105,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-09-02,2021-05-03,2021-09-03,2021-05-08,2021-09-08,1.4694 : 1,1.4694 : 1,3000,30858,30858,5000000,5000000,154.34
CHPG2106,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,4.5 tháng,2021-04-13,2021-04-05,2021-06-05,2021-08-25,2021-08-27,1.4694 : 1,1.4694 : 1,4100,36883,36883,3000000,3000000,12.83
CHPG2107,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2021-12-04,2021-04-05,2021-06-05,2021-10-08,2021-12-08,3.6736 : 1,3.6736 : 1,1300,43619,43619,4000000,4000000,-29.81
CHPG2108,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2021-12-04,2021-07-05,2021-11-05,2021-10-08,2021-12-08,3.6736 : 1,3.6736 : 1,1200,43684,43684,5000000,5000000,-29.41
CHPG2109,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-09-07,2021-07-30,2021-03-08,2022-06-01,2022-10-01,1 : 1,,4000,55000,,3000000,3000000,-96.82
